date_found,source_title,doc_type,company,metric_captured,time_period,exact_ref,url,your_note
2026-04-07,Snowflake Investor Relations,IR Portal,SNOW,"Earnings materials, investor presentations, SEC filing access",Current,Financial information navigation,https://investors.snowflake.com/,Primary hub for recurring updates
2026-04-07,Snowflake Annual Reports,IR Document Library,SNOW,"Annual report archive, long-term disclosures",FY history,Annual reports section,https://investors.snowflake.com/financial-information/annual-reports,Used for year-over-year context
2026-04-07,Snowflake Quarterly Results,IR Document Library,SNOW,"Quarterly releases, decks, and call materials",Recent quarters,Quarterly results section,https://investors.snowflake.com/financial-information/quarterly-results,Primary source for quarter-to-quarter KPI updates
2026-04-07,SEC EDGAR Company Filings - Snowflake,SEC Filing Index,SNOW,"10-K, 10-Q, 8-K filing history",Multi-year,Filing list by CIK 1640147,https://www.sec.gov/edgar/browse/?CIK=1640147&owner=exclude,Authoritative filing source
2026-04-07,Snowflake Form 10-K filings search,SEC Filing Search,SNOW,"Revenue, margin, customer concentration, risk factors",Multi-year,Form type filter = 10-K,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001640147&type=10-k&owner=exclude&count=40,Used to validate annual trend assumptions
2026-04-07,Snowflake Form 10-Q filings search,SEC Filing Search,SNOW,"Intra-year growth and guidance bridge",Multi-year,Form type filter = 10-Q,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001640147&type=10-q&owner=exclude&count=40,Used to refresh quarterly model inputs
2026-04-07,Snowflake Form 8-K filings search,SEC Filing Search,SNOW,"Earnings release exhibits and event disclosures",Multi-year,Form type filter = 8-K,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001640147&type=8-k&owner=exclude&count=40,Used for event-driven updates
2026-04-07,Snowflake Cortex documentation,Product Documentation,SNOW,"AI feature scope and monetization surfaces",Current,Overview + related capability pages,https://docs.snowflake.com/en/user-guide/snowflake-cortex,Cited in AI monetization thesis leg
2026-04-07,Snowflake Native App Framework docs,Product Documentation,SNOW,"Application-layer extensibility and ecosystem",Current,Native App Framework section,https://docs.snowflake.com/en/developer-guide/native-apps/native-apps-about,Used for platform breadth analysis
2026-04-07,Snowflake Data Marketplace docs,Product Documentation,SNOW,"Data sharing, marketplace workflow, network effects",Current,Marketplace overview,https://docs.snowflake.com/en/user-guide/data-marketplace,Used to assess ecosystem stickiness
2026-04-07,AWS Redshift pricing,Competitor Pricing,AMZN,"Warehouse pricing and bundled ecosystem posture",Current,Pricing page assumptions and calculators,https://aws.amazon.com/redshift/pricing/,Competitive benchmark input
2026-04-07,Google BigQuery pricing,Competitor Pricing,GOOGL,"Serverless query pricing and storage economics",Current,Pricing structure by edition,https://cloud.google.com/bigquery/pricing,Competitive benchmark input
2026-04-07,Azure Synapse pricing,Competitor Pricing,MSFT,"Compute/storage pricing and bundle implications",Current,Synapse pricing section,https://azure.microsoft.com/en-us/pricing/details/synapse-analytics/,Competitive benchmark input
2026-04-07,Databricks pricing overview,Competitor Pricing,Databricks,"Lakehouse workload pricing references",Current,Databricks pricing page,https://www.databricks.com/product/pricing,Competitive benchmark input for alternative architecture
2026-04-07,Snowflake Trust Center,Operational Due Diligence,SNOW,"Security, governance, and enterprise-readiness",Current,Trust and compliance pages,https://trust.snowflake.com/,Supports enterprise adoption quality check
